path,scope,sha256_before_verification,bytes
.env.example,Phase 4 tax / verification,a280775ba61a54832e1a77d790d048b2b4ee00b99c02550ac3f91ec53be4a1e2,262
accounting-backend/.env.example,Phase 4 tax / verification,111e1284599d9bd0d6845dae23b27689000e33e45d8ff7d8047b1f2a6f882a74,1459
accounting-backend/apps/accounting/services/journals/reverse_journal.py,Phase 3/4 integration,7ef854a0952faa1b6b0145fcdef4f6f04009ee2efffccdd1287e5b446d0d2ac6,4855
accounting-backend/apps/banking/services/reconciliation/matcher.py,Phase 4 withholding net-cash matching,08dd06688d5b9413d8737efb18e169d27f46c05d6671fcc1f10b10d1e7301c41,11561
accounting-backend/apps/banking/services/reconciliation/reconcile.py,Phase 4 withholding net-cash matching,936a4d2f6df5b0ac99d39ae45eb53e1f4750bf44c379fd0527e27f592f0aaf4b,15886
accounting-backend/apps/organisations/models.py,Phase 3/4 integration,31aee729483c5542bf50dede6edc11b1918512c2989fef2ec77eea8921a0187a,5731
accounting-backend/apps/organisations/permissions.py,Phase 3/4 integration,9c6301236865939b0af460f2fad99b17f52f83ab310bd088878b3083c4f48b35,7845
accounting-backend/apps/organisations/serializers.py,Phase 3/4 integration,6d8055702b4c02d647178c355b57e94d3a64dcbd5ad197634f714484a23ce034,3144
accounting-backend/apps/payroll/services/calculation_engine.py,Phase 4 tax / verification,aa9cf6a7860c598db5f737898e6d09029c8b49eedbb8dfe7790f08f48ed6120a,2972
accounting-backend/apps/payroll/services/payroll_service.py,Phase 4 tax / verification,330fc607b0939d738b600a66e38099e45f8c5fff8ea4871fd8450c1e3a17ac12,5867
accounting-backend/apps/payroll/views.py,Phase 4 tax / verification,6185b99f2bf9da6dc793e3480fba487e8361a39bbb55c0644e14b216782b36c8,8369
accounting-backend/apps/purchases/models.py,Phase 3/4 integration,0e5433c7511ddede21a4f598d151727e75022d700699822658974bc43336600b,30836
accounting-backend/apps/purchases/serializers.py,Phase 3/4 integration,e367dc77b76f3a5f4a957b89509b550ab3b3aacf8648da7065b7e13af1284557,19354
accounting-backend/apps/purchases/services/bills/approve_bill.py,Phase 3/4 integration,4479100e7a051ae97805dcb288197761456d63b3a065676a83386fea1ed62139,8005
accounting-backend/apps/purchases/services/bills/create_bill.py,Phase 3/4 integration,1c42290d1a9afd1584d3c65317c6ad4307731dd02e1c47e64e742957b6f8f154,7154
accounting-backend/apps/purchases/services/bills/update_bill.py,Phase 3/4 integration,b5048d1b1dcfa2866e5722c1e340ab16d3791375aa12dfca1345428b451619e1,5693
accounting-backend/apps/purchases/services/credits/approve_supplier_credit.py,Phase 3/4 integration,9ca5b0d3421612642cb1b032a3c0c0f03dd3964969b09a03093f7c9cd964017e,5334
accounting-backend/apps/purchases/services/credits/create_supplier_credit.py,Phase 3/4 integration,ae38fc404a4c00951ae3966f1b07284c519dfab8709354c7267544c80e9bd7a4,5522
